Date,Open,High,Low,Close,Volume
11-Feb-11,12.75,12.62,12.28,12.50,1185093
10-Feb-11,12.75,13.00,12.50,12.50,838835
9-Feb-11,12.75,12.84,12.50,12.55,598547
8-Feb-11,12.75,13.00,12.50,12.56,811653
7-Feb-11,13.25,13.50,12.50,12.79,2019733
4-Feb-11,13.00,13.00,12.75,12.86,963183
3-Feb-11,12.25,13.25,12.12,12.75,3130249
2-Feb-11,12.25,12.25,12.00,12.20,2125040
1-Feb-11,12.25,12.30,12.00,12.04,1414193
31-Jan-11,12.50,12.50,11.25,12.05,853955
28-Jan-11,12.50,12.75,12.25,12.38,929744
27-Jan-11,12.50,12.75,12.30,12.45,810083
26-Jan-11,12.50,12.61,12.30,12.60,653006
25-Jan-11,12.75,12.64,12.25,12.58,988276
24-Jan-11,13.00,12.95,12.25,12.50,2523860
21-Jan-11,13.25,13.25,12.75,12.80,2481984
20-Jan-11,13.75,13.75,13.00,13.00,1721772
19-Jan-11,13.25,13.70,13.00,13.00,1777252
18-Jan-11,13.00,13.50,12.92,13.29,4280267
17-Jan-11,13.75,13.75,12.00,13.00,2753279
14-Jan-11,14.25,14.72,13.50,14.00,8191984
13-Jan-11,13.00,14.50,12.89,14.30,6695781
12-Jan-11,12.50,13.18,12.37,13.07,3736287
11-Jan-11,12.75,12.62,12.25,12.29,2468641
10-Jan-11,13.25,13.18,12.50,12.60,4814562
7-Jan-11,13.50,14.25,12.88,13.25,4082943
6-Jan-11,12.25,13.50,12.05,13.47,13990193
5-Jan-11,11.75,12.25,11.25,11.50,6010475
4-Jan-11,11.25,11.75,11.00,11.70,21581657
31-Dec-10,11.25,11.25,11.03,11.08,618634
30-Dec-10,10.75,11.20,10.53,11.20,2097739
29-Dec-10,10.75,10.75,10.25,10.55,2087393
24-Dec-10,-,-,-,10.60,0
23-Dec-10,10.75,10.90,10.50,10.79,1862545
22-Dec-10,11.00,11.10,10.25,10.79,1697037
21-Dec-10,11.25,11.14,10.75,11.10,762332
20-Dec-10,11.25,11.14,11.00,11.00,483890
17-Dec-10,11.75,11.59,10.77,11.05,2372286
16-Dec-10,11.25,11.80,11.10,11.50,2969686
15-Dec-10,11.50,11.69,11.00,11.50,1222348
14-Dec-10,11.00,11.50,10.56,11.46,1215068
13-Dec-10,11.25,11.32,10.80,10.95,663241
