,Daily Returns,Total Returns,Funds,Margin,Portfolio Value,AAPL Position,AAPL Order,AAPL Filled Order,AAPL Trade Price,AAPL Cost to Trade,AAPL PnL,AIG Position,AIG Order,AIG Filled Order,AIG Trade Price,AIG Cost to Trade,AIG PnL,AIR Position,AIR Order,AIR Filled Order,AIR Trade Price,AIR Cost to Trade,AIR PnL,A Position,A Order,A Filled Order,A Trade Price,A Cost to Trade,A PnL
2013-10-23,-0.066148,-26.7041844,118300.776,618183.4,736484.176,0,0,0,74.14,0.0,0.0,-890,327,0,52.14,0.0,382.7,-7462,6593,0,28.6,0.0,-3656.38,-7060,5980,0,50.76,0.0,2612.2
2013-10-22,0.345606,-26.6380364,100623.176,627022.2,727645.376,0,0,0,75.2,0.0,0.0,-890,397,0,52.28,0.0,-258.1,-7462,6698,0,28.5,0.0,-3134.04,-7060,6150,0,52.1,0.0,6848.2
2013-10-21,0.650618,-26.9836424,89979.176,632344.2,722323.376,0,0,0,73.11,0.0,0.0,-890,404,0,52.48,0.0,267.0,-7462,6710,0,28.3,0.0,-820.82,-7060,6190,0,53.04,0.0,7060.0
2013-10-18,-0.511412,-27.6342604,96543.576,629062.0,725605.576,0,0,0,72.28,0.0,0.0,-890,296,0,52.18,0.0,-400.5,-7462,6520,0,28.0,0.0,-2313.22,-7060,5995,0,52.93,0.0,-2400.4
2013-10-17,-1.090682,-27.1228484,131816.976,611425.3,743242.276,0,0,0,71.43,0.0,0.0,-890,179,0,51.14,0.0,-525.1,-7462,6329,0,27.35,0.0,-2686.32,-7060,5788,0,51.25,0.0,-7695.4
2013-10-16,-0.896382,-26.0321664,134261.536,610203.02,744464.556,0,0,0,71.54,0.0,0.0,-890,184,0,50.34,0.0,-1103.6,-7462,6325,0,27.31,0.0,-3059.42,-7060,5793,0,51.22,0.0,-4800.8
2013-10-15,0.864986,-25.1357844,129658.096,612504.74,742162.836,0,0,0,71.07,0.0,0.0,-890,180,0,50.18,0.0,186.9,-7462,6301,0,27.77,0.0,5074.16,-7060,5797,0,51.08,0.0,3388.8
2013-10-14,-0.128958,-26.0007704,136106.216,609280.68,745386.896,0,0,0,69.98,0.0,0.0,-890,173,0,49.63,0.0,-204.7,-7462,6192,0,27.29,0.0,-1790.88,-7060,5720,0,51.2,0.0,706.0
2013-10-11,-0.6139406,-25.8718124,142642.776,606012.4,748655.176,0,0,0,69.57,0.0,0.0,-890,-754,-754,49.67,127.426,-433.366,-7462,5625,0,27.15,0.0,-2387.84,-7060,5230,0,50.88,0.0,-3318.2
2013-10-10,-1.15880085,-25.2578718,195643.342,560850.24,756493.582,0,138,138,70.19,23.115,-116.955,-136,-2757,0,48.29,0.0,-251.6,-7462,-6818,-6818,26.7,835.205,-5112.065,-7060,-6483,-6483,50.29,969.2085,-6107.3885
