,Daily Returns,Total Returns,Funds,Portfolio Value,A Position,A Order,A Filled Order,A Trade Price,A Cost to Trade,A PnL,AAPL Position,AAPL Order,AAPL Filled Order,AAPL Trade Price,AAPL Cost to Trade,AAPL PnL,AEG Position,AEG Order,AEG Filled Order,AEG Trade Price,AEG Cost to Trade,AEG PnL,AIN Position,AIN Order,AIN Filled Order,AIN Trade Price,AIN Cost to Trade,AIN PnL,AIR Position,AIR Order,AIR Filled Order,AIR Trade Price,AIR Cost to Trade,AIR PnL
2014-05-09,0.2943909,-54.6615715,124303.885,453384.285,0,0.0,0,55.26,0.0,0.0,0,0.0,0,83.51,0.0,0.0,0,0.0,0,8.93,0.0,-0.0,0,0.0,0,35.04,0.0,0.0,12895,-74.0,-74,25.13,10.101,2943.909
2014-05-08,-0.3252042,-54.9559624,122454.366,450440.376,0,0.0,0,55.03,0.0,0.0,0,0.0,0,84.04,0.0,-0.0,0,0.0,0,9.0,0.0,0.0,0,0.0,0,35.0,0.0,0.0,12969,68.0,68,25.56,8.432,-3252.042
2014-05-07,0.1798349,-54.6307582,124200.878,453692.418,0,0.0,0,55.13,0.0,0.0,0,0.0,0,85.04,0.0,0.0,0,0.0,0,8.99,0.0,0.0,0,0.0,0,35.68,0.0,-0.0,12901,-147.0,-147,25.48,19.551,1798.349
2014-05-06,-0.5878828,-54.8105931,120474.869,451894.069,0,0.0,0,55.08,0.0,-0.0,0,0.0,0,85.97,0.0,0.0,0,0.0,0,9.03,0.0,0.0,0,0.0,0,35.7,0.0,0.0,13048,104.0,104,25.78,14.508,-5878.828
2014-05-05,0.3088472,-54.2227103,123170.497,457772.897,0,0.0,0,54.31,0.0,0.0,0,0.0,0,84.31,0.0,0.0,0,0.0,0,8.97,0.0,0.0,0,0.0,0,35.87,0.0,0.0,12944,-68.0,-68,25.47,8.568,3088.472
2014-05-02,-0.29372685,-54.5315575,121447.105,454684.425,0,6505.0,6505,54.5,1044.0525,-1239.2025,0,0.0,0,84.62,0.0,0.0,0,0.0,0,9.14,0.0,0.0,0,0.0,0,35.78,0.0,0.0,13012,13012.0,13012,25.6,1828.186,-1698.066
2014-05-01,-0.279715,-54.23783065,461069.3435,457621.6935,-6505,0.0,0,53.94,0.0,-2797.15,0,0.0,0,84.57,0.0,0.0,0,0.0,0,9.2,0.0,-0.0,0,0.0,0,35.99,0.0,0.0,0,0.0,0,25.77,0.0,-0.0
2014-04-30,-0.48137,-53.95811565,464386.8935,460418.8435,-6505,0.0,0,53.43,0.0,-4813.7,0,0.0,0,84.66,0.0,0.0,0,0.0,0,8.97,0.0,0.0,0,0.0,0,35.5,0.0,0.0,0,0.0,0,25.48,0.0,0.0
2014-04-29,0.279715,-53.47674565,465297.5935,465232.5435,-6505,0.0,0,53.29,0.0,2797.15,0,0.0,0,84.82,0.0,-0.0,0,0.0,0,8.97,0.0,0.0,0,0.0,0,35.64,0.0,0.0,0,0.0,0,25.8,0.0,0.0
2014-04-28,0.42933,-53.75646065,455149.7935,462435.3935,-6505,0.0,0,54.85,0.0,4293.3,0,0.0,0,81.83,0.0,0.0,0,0.0,0,8.87,0.0,0.0,0,0.0,0,35.41,0.0,0.0,0,0.0,0,26.37,0.0,0.0
2014-04-25,0.578945,-54.18579065,452547.7935,458142.0935,-6505,0.0,0,55.25,0.0,5789.45,0,0.0,0,80.65,0.0,0.0,0,0.0,0,8.85,0.0,0.0,0,0.0,0,35.26,0.0,0.0,0,0.0,0,26.35,0.0,-0.0
2014-04-24,-0.175635,-54.76473565,452677.8935,452352.6435,-6505,0.0,0,55.23,0.0,-1756.35,0,0.0,0,81.17,0.0,0.0,0,0.0,0,8.93,0.0,0.0,0,0.0,0,35.47,0.0,0.0,0,0.0,0,26.71,0.0,0.0
2014-04-23,-0.02602,-54.58910065,455149.7935,454108.9935,-6505,0.0,0,54.85,0.0,-260.2,0,0.0,0,75.58,0.0,-0.0,0,0.0,0,8.95,0.0,0.0,0,0.0,0,34.9,0.0,0.0,0,0.0,0,26.61,0.0,0.0
2014-04-22,-0.18214,-54.56308065,456125.5435,454369.1935,-6505,0.0,0,54.7,0.0,-1821.4,0,0.0,0,75.47,0.0,0.0,0,0.0,0,8.88,0.0,0.0,0,0.0,0,34.98,0.0,0.0,0,0.0,0,26.55,0.0,0.0
2014-04-21,-0.02602,-54.38094065,456710.9935,456190.5935,-6505,0.0,0,54.61,0.0,-260.2,0,0.0,0,75.05,0.0,0.0,0,0.0,0,8.84,0.0,0.0,0,0.0,0,34.61,0.0,0.0,0,0.0,0,26.76,0.0,-0.0
